,token,total_count
2458,paesaggio,75858
2271,priorità,75787
2481,tono,75773
2392,Emilia,75742
2273,chiaramente,75707
2275,praticamente,75694
2559,opporre,75666
2438,sperimentale,75659
2338,attrezzatura,75618
2570,minaccia,75548
2393,qua,75495
2595,violento,75494
2378,r,75473
2390,efficienza,75425
2375,Onu,75391
2642,solare,75389
2455,attentato,75354
2598,scomparire,75335
2414,selezionare,75322
2505,Calabria,75299
2427,delicato,75286
2839,influenza,75270
2753,cinematografico,75243
2310,indicato,75198
2988,giapponese,75160
2424,scenario,75145
2527,rompere,75142
2435,affatto,75112
2863,orientale,75099
2581,sinistro,75019
2477,mistero,74929
2776,Festival,74856
2409,denuncia,74839
2511,praticare,74750
2476,convocare,74692
2439,progresso,74519
2404,ah,74458
2583,schermo,74432
3328,trama,74410
2545,maggiormente,74341
2515,merce,74304
2526,installare,74235
2474,temporale,74205
2632,interrompere,74185
3288,villa,74139
2400,bancario,74061
2301,adempimento,74042
2745,ascolto,73948
2637,catena,73917
2304,volontariato,73854
2491,personalmente,73844
2506,restituire,73828
2517,prestito,73826
2307,retribuzione,73795
2459,fatica,73785
2549,stabile,73757
2406,maturare,73719
2617,suolo,73677
2709,teatrale,73622
2405,etico,73619
2541,spiaggia,73582
2417,erogare,73573
2704,coda,73547
2433,andamento,73525
2703,circondare,73492
2423,it,73441
2743,peccato,73408
2469,manifesto,73357
2482,biglietto,73281
2323,dignità,73231
2478,accademico,73130
2461,ditta,73109
2502,legittimo,73027
2509,orientare,73004
2452,annuo,72944
2669,nucleare,72912
2475,conferma,72876
2444,iracheno,72873
3062,Inghilterra,72844
3297,Regno,72802
2531,energetico,72781
2457,consapevole,72779
2599,viaggiare,72762
2483,frontiera,72736
2331,Piazza,72724
2688,talvolta,72714
2419,Varese,72663
2600,capello,72649
2521,islamico,72622
2826,diffuso,72568
2495,consegna,72544
2697,studioso,72539
2494,piangere,72534
2462,protetto,72504
2857,ricoprire,72503
2408,asilo,72491
2418,programmare,72480
2440,beh,72466
2607,intento,72455
2594,precedere,72442
2572,nodo,72419
2472,R.,72388
2665,cavaliere,72373
2411,centrosinistra,72358
2447,ammontare,72259
3025,principalmente,72248
3234,ovvio,72219
2536,P.,72204
2567,Windows,72171
2613,tessuto,72167
2525,riga,72132
2416,regolamentare,72130
2589,arresto,72112
2671,drammatico,72081
2614,gettare,72000
2348,continuità,71966
2544,don,71961
2437,premessa,71950
2349,accorgere,71917
2529,evidenza,71914
2533,peggio,71749
2553,sostituzione,71735
2354,mandato,71734
2601,diminuire,71716
2546,ignorare,71620
2699,dominare,71602
2895,lago,71558
2550,smettere,71512
2634,nove,71493
2654,amicizia,71492
2836,dominio,71430
2535,difetto,71389
2412,rinvio,71387
2428,venditore,71315
2624,Claudio,71309
2543,manuale,71290
2793,volare,71289
2496,inquinamento,71219
2366,esattamente,71214
2367,cooperativa,71195
2673,intraprendere,71178
2610,cima,71169
2498,od,71105
2370,signora,71094
2473,preliminare,71091
2569,psicologico,71077
2616,zero,71031
2611,azzurro,70989
2873,rock,70865
2377,erogazione,70863
2672,adatto,70779
2382,D.P.R.,70748
3000,lunghezza,70714
2512,clinico,70661
2466,postare,70645
2635,dio,70636
2463,valorizzare,70624
2650,appoggiare,70620
2499,privare,70585
2577,portata,70585
2488,rassegna,70430
2395,???,70408
2591,affetto,70406
2503,civico,70387
2608,Sergio,70352
2693,Angelo,70333
2666,donare,70289
2557,indirizzare,70272
2522,sostanziale,70213
2450,affidamento,70163
2480,convenire,70157
2902,cm,70124
2446,revocare,70092
2566,settimanale,70033
2582,sofferenza,69952
2524,innanzitutto,69951
2565,preghiera,69912
2739,sin,69894
2636,contattare,69819
2923,Russia,69782
2407,,69773
2757,Vittorio,69734
2784,progressivo,69703
2640,mito,69650
2760,fuga,69646
2685,adattare,69587
2918,fuggire,69551
2734,blu,69536
2537,An,69445
3117,esemplare,69325
2603,designare,69314
2590,buttare,69287
3180,intitolare,69279
2507,alloggio,69264
2563,punteggio,69261
2561,Hotel,69075
2429,estremamente,69073
2789,insediamento,69000
2597,bagno,68932
2913,parete,68912
2573,installazione,68879
2633,regalare,68801
2532,consultare,68761
3096,David,68760
2586,divertire,68748
2681,eccessivo,68696
2712,governare,68690
2442,virtù,68612
2732,estivo,68598
2576,partner,68432
2628,Piemonte,68367
2728,totalmente,68355
2971,visitatore,68307
2448,Cee,68304
2552,Prodi,68299
2731,parecchio,68297
3020,ferroviario,68280
2539,accoglienza,68258
2622,sostanzialmente,68234
2453,??,68189
3586,inizialmente,68186
2615,eccezionale,68103
2668,gamba,68082
2508,contabile,67899
2584,soddisfazione,67820
2585,foglio,67766
2464,cfr.,67734
2592,virtuale,67679
2800,disegnare,67675
2865,ricostruire,67625
2627,M,67614
2903,cronaca,67613
2854,specialmente,67561
3166,torre,67529
2574,ricorrente,67495
2710,precedenza,67451
2658,cervello,67432
2725,pubblicitario,67425
2618,cena,67372
2578,segnalazione,67348
2807,bandiera,67344
2998,fumetto,67323
2794,oriente,67299
2680,palla,67273
2621,barca,67186
2661,Gianni,67171
2866,caduta,67100
2808,punta,67046
2625,Trento,66986
2630,pane,66978
2485,previdenza,66966
2486,tutt,66955
2487,telematico,66944
2775,misurare,66926
2489,latta|latte,66921
3416,sconfiggere,66921
2659,evidentemente,66892
2744,bosco,66851
4135,principe,66734
2604,vice,66691
2677,stima,66665
2646,sensibile,66643
2738,solido,66597
2748,anonimo,66594
4023,puntata,66576
2571,presupposto,66501
2501,utilizzazione,66481
2819,matematico,66461
2547,ateneo,66425
2714,siciliano,66297
2926,team,66289
3357,celebre,66261
2982,raggio,66156
2935,circuito,66070
2679,Forza,66048
2696,incaricare,66006
2690,linguistico,66000
2676,obbligare,65985
3662,imperatore,65897
2514,decisamente,65858
2791,venti,65776
2723,sospetto,65736
2639,canone,65717
2922,spettatore,65681
3198,generalmente,65674
2520,assegno,65644
2612,rilevanza,65586
2801,israeliano,65583
2523,handicap,65562
2740,Piero,65553
2643,autentico,65547
2868,distretto,65458
2655,navigazione,65402
2528,tematica,65358
2741,suscitare,65350
2772,danza,65330
2711,anticipare,65301
2593,specializzazione,65277
2933,Don,65270
2751,sfuggire,65237
2540,solamente,65168
2907,collezione,65150
2730,cessare,65139
2579,master,65113
2846,primavera,65063
2774,Maurizio,65016
2750,crescente,65002
2891,frequente,64949
2787,federale,64942
2698,colui,64909
2768,musulmano,64901
3067,moneta,64852
3069,esatto,64830
3299,meridionale,64824
2675,sano,64805
2814,Pisa,64780
2915,sparare,64677
2548,versamento,64598
2928,razza,64523
2644,mensile,64511
2878,piattaforma,64456
2733,sperimentare,64446
2660,esponente,64416
2596,comparto,64386
3164,record,64355
2869,testimoniare,64344
2555,integrativo,64335
3784,cantante,64320
3247,competizione,64267
2828,ulteriormente,64265
2663,articolare,64241
2651,fondamento,64199
2999,impero,64177
3021,Lorenzo,64106
2721,soccorso,63973
2964,aeroporto,63928
2785,divino,63861
2667,insistere,63838
2780,creativo,63831
2908,sessanta,63789
2686,patologia,63721
2761,editoriale,63695
2788,ciascuna,63673
2575,entità,63664
3242,Giappone,63662
3195,meccanico,63638
2722,camminare,63609
4998,biografia,63545
2798,concezione,63538
2645,giurisprudenza,63507
2726,adeguare,63458
2759,riscontrare,63440
2629,metodologia,63427
2824,margine,63408
2664,magistratura,63383
2936,esperimento,63375
2735,impressione,63338
2796,incredibile,63317
2890,geografico,63253
2719,fame,63251
2912,costume,63189
2993,eroe,63156
2884,ritiro,63099
2737,rumore,63095
2803,apprendere,63090
3049,affiancare,63070
2911,scienziato,63059
2862,dottrina,63049
3041,sequenza,63045
2773,Microsoft,62992
2692,dotazione,62987
2752,toscano,62930
3211,musicista,62857
2631,rinnovo,62819
2755,mattino,62796
3257,ala,62717
2648,inerente,62680
2602,professionalità,62677
3121,comandante,62665
2720,aspettativa,62636
2707,depositare,62627
2810,concentrazione,62597
2653,urgenza,62597
2900,reparto,62500
2729,assetto,62349
2901,dodici,62344
2987,scritto,62287
2641,attenere,62247
2786,Modena,62243
2609,ch,62219
2871,decisivo,62190
2831,cantiere,62107
2899,consumare,62081
2767,convinzione,61983
2887,pioggia,61938
2944,inventare,61913
3063,ferro,61887
2805,minoranza,61832
2894,Mar,61828
2948,Verona,61758
2746,impostazione,61736
2657,quesito,61711
3127,alleato,61711
2619,sostitutivo,61703
2815,intelligenza,61678
3083,chiamata,61655
2840,spiegazione,61574
2851,sottrarre,61572
2695,chiarezza,61558
3202,maschile,61549
3320,sconfitta,61521
2880,Reggio,61494
2689,procura,61489
2623,perfettamente,61479
2797,sopprimere,61466
3203,suddividere,61386
2683,destinatario,61378
2886,ingegnere,61368
2708,postale,61354
2674,ok,61351
2779,figurare,61350
2853,consistente,61292
2916,Bruno,61289
2820,fantasia,61255
2678,ospedaliero,61254
3023,bomba,61235
3175,variante,61227
2790,benessere,61205
2747,stimolare,61192
2889,contrastare,61165
3574,valle,61122
2764,Corriere,61084
2967,convertire,61072
2713,colloquio,61063
2917,elettore,61041
2783,provvisorio,61010
2756,compenso,60966
2837,ve,60926
2727,coerente,60859
2736,F.,60799
2937,minacciare,60735
2821,Iva,60697
2766,occidente,60636
2849,pretendere,60617
3073,distruzione,60607
3013,lug,60606
2638,didattica,60595
2701,Post,60594
2833,ostacolo,60566
3053,improvviso,60555
2822,appassionato,60512
2829,distinto,60495
2904,appartamento,60486
2963,presunto,60478
2647,necessariamente,60477
3065,fabbrica,60465
2700,recensione,60454
2649,validità,60446
3283,variare,60444
3028,marcia,60393
2813,richiamo,60377
2914,mappa,60374
3115,Valle,60349
3599,frazione,60338
2864,allargare,60321
3326,nobile,60284
2652,adeguamento,60268
2852,sognare,60213
3027,milanese,60138
3102,prevalentemente,60119
2845,ottica,60100
2827,Unite,60088
2879,governativo,60077
2905,pacchetto,60055
2770,n',59991
2662,legittimità,59986
2996,fotografico,59974
3635,mm,59953
2847,ristrutturazione,59945
3009,uovo,59925
2835,facilitare,59871
2955,misto,59866
2716,forestale,59863
3171,marchio,59790
2670,sala|sale,59755
3051,patria,59738
2765,sostenibile,59722
2742,invio,59680
2769,sorridere,59609
2981,sfera,59587
2956,identico,59564
2921,rivedere,59541
2804,candidare,59520
2771,domandare,59517
3031,portale,59512
2795,augurare,59499
2825,comprensione,59496
2682,giù,59495
2844,grazia,59493
2897,Campania,59436
3012,apparato,59400
2684,parità,59400
2898,laico,59388
3130,inverno,59303
3162,Cesare,59278
3022,africano,59231
3100,corto,59220
3032,Catania,59202
3280,recitare,59183
2687,santa,59150
3018,corrispondenza,59133
2881,sessione,59120
3384,Federico,59115
3002,Siena,59066
2691,menu,59060
3597,Madonna,59057
2763,pianificazione,59032
2694,nuovamente,58995
2874,presiedere,58983
3086,foresta,58960
2893,quindici,58950
3344,gol,58947
2985,terribile,58947
3105,contadino,58943
2980,battuta,58893
2945,coalizione,58884
3199,trasportare,58861
2954,genetico,58804
2943,dono,58800
2702,Verdi,58797
2934,neve,58755
3074,rito,58748
2792,home,58652
2706,societa'|società,58638
2841,coinvolgimento,58541
2931,Codice,58513
3050,Vincenzo,58512
2949,intelligente,58465
2860,ingegneria,58454
2929,es.,58447
2816,vigile,58421
3076,era,58308
2927,abuso,58298
2920,elencare,58292
2715,chissà,58250
2910,trattativa,58244
2717,arte|arto,58241
3163,sesto,58234
2718,contemporaneamente,58233
3140,alleanza,58164
3289,influenzare,58141
2972,divertente,58120
2811,mail,58116
3037,alimentazione,58107
2976,gatto,58085
2952,buio,58081
2724,rimborso,58073
3382,cardinale,57942
2806,prescrivere,57874
3360,maschio,57816
2947,liceo,57790
2809,trasparenza,57764
3035,tifoso,57737
3146,odierno,57726
2812,udire,57724
2888,difensore,57702
3400,culto,57658
3007,tragedia,57658
2938,catalogo,57630
2818,conforme,57599
2968,eterno,57595
2823,agevolare,57567
3238,indossare,57535
3078,bacino,57533
2990,qualificazione,57497
2919,accessorio,57474
2749,sportello,57430
3042,notturno,57365
2830,riservato,57361
3212,sacerdote,57339
2989,perfino,57329
2906,compatibile,57305
3060,arricchire,57295
3016,promessa,57265
3095,fallimento,57250
3332,montare,57237
2758,interrogazione,57229
2925,benissimo,57155
2762,assessorato,57123
3122,magico,57065
3221,anello,56978
2939,viale,56968
3291,indipendenza,56960
2977,animo,56960
2979,lamentare,56949
2842,coordinatore,56896
2885,statistico,56860
3087,concepire,56854
2960,soglia,56787
2777,previdenziale,56712
2778,stabilità,56704
3120,artificiale,56673
2965,residuo,56654
3213,Rossi,56624
3276,archeologico,56613
2781,cassazione,56600
2782,bensì,56596
3243,Nicola,56507
3046,Fabio,56503
6123,not,56446
2858,globalizzazione,56428
2861,B.,56402
3287,denominazione,56361
3024,delitto,56345
2957,riposo,56248
3082,Brescia,56239
2896,attivazione,56232
2799,povertà,56131
3081,Bari,56118
3011,triste,56081
2802,utilità,56077
2870,Azienda,56034
3001,reciproco,56023
2942,violare,55966
3094,connettere,55814
3112,liberale,55803
2817,pienamente,55787
3420,World,55765
3557,Filippo,55758
3315,India,55735
3019,hotel,55695
2962,E.,55616
2975,rappresentativo,55595
3368,parallelo,55592
3403,capitano,55563
3172,ruota,55534
2924,sollecitare,55484
2973,allarme,55475
3617,catturare,55474
3206,probabile,55440
2930,configurare,55392
2966,premier,55337
3204,socialista,55337
3615,George,55324
2984,attimo,55305
2832,agevolazione,55293
3143,deserto,55270
2838,Maggio,55218
3048,diario,55204
3177,sottile,55190
3141,riprodurre,55122
2843,indeterminato,55089
3055,punire,55075
3071,dipendenza,55040
3047,gridare,55000
3045,T,54991
3275,normalmente,54967
3159,parente,54929
3039,top,54903
2855,comparativo,54853
2959,cmq,54827
3008,identificazione,54826
2856,edilizia,54823
3239,cinquanta,54776
2961,compilare,54762
3397,terrestre,54740
3590,fondatore,54667
3149,resistere,54661
3286,salto,54657
3106,sacrificio,54639
2867,richiedente,54625
3439,ebraico,54617
3695,Michael,54607
3436,Giacomo,54603
3341,Romano,54597
3014,marketing,54587
3285,vestire,54569
3003,orale,54466
2875,espressamente,54433
2876,potenzialità,54424
2877,Villa,54421
3281,sciogliere,54413
2970,eh,54380
2882,deroga,54360
2883,sensibilità,54357
3116,annullare,54341
3693,monumento,54315
3232,architettonico,54305
3134,email,54300
2951,mezzogiorno,54245
3460,chitarra,54212
3380,inaugurare,54165
3033,limitazione,54164
3015,Bruxelles,54142
3010,accademia,54135
3084,ovunque,54118
3442,prigioniero,54116
3312,indiano,54109
3246,continente,54088
2892,atletico,54075
3185,liberazione,54039
3165,fantastico,54017
3729,posteriore,54009
3186,panorama,53986
3135,implicare,53985
3108,distinzione,53958
3208,y,53898
3229,rimuovere,53816
3030,mantenimento,53803
3350,inedito,53770
3043,sorriso,53753
3137,strage,53751
3170,Bergamo,53713
3196,manovra,53707
3437,spedizione,53699
3136,secco,53695
3223,filosofico,53682
3292,criminale,53571
3145,domestico,53555
3181,realmente,53549
3057,saluto,53519
3197,dimostrazione,53492
3111,regolarmente,53491
3214,esplicito,53485
3160,virus,53461
3444,ricavare,53461
2992,utenza,53448
3064,chiarimento,53447
3219,abitudine,53430
3209,lavorazione,53427
3333,omicidio,53425
3601,sopravvivere,53411
3038,dinamico,53391
3447,Bretagna,53390
3079,visualizzare,53372
3118,informatica,53370
3224,Ferrara,53364
3183,Trieste,53352
3044,carenza,53327
3148,turista,53261
3245,incendio,53251
3089,timore,53192
3503,etichetta,53152
3391,reggere,53140
3142,scattare,53134
3026,immobiliare,53123
3066,provenienza,53097
2997,salvaguardia,53079
2994,impugnare,53074
3190,Silvio,53073
3217,scambiare,53033
3152,infortunio,53031
3017,formulazione,52985
3187,stringere,52945
3125,annuncio,52847
3005,legislatore,52783
3059,dito,52783
3139,barriera,52723
2932,s.p.a.,52714
3294,tetto,52675
3061,congiunto,52644
3200,separazione,52640
3088,parcheggio,52637
3594,lancio,52634
4004,deciso,52622
3443,tiro,52618
3277,oscuro,52576
3235,animazione,52569
3409,amante,52557
3040,coerenza,52545
3133,abituare,52534
3036,audizione,52523
3056,Stampa,52508
3665,tempio,52506
2946,inserzione,52500
2950,viva,52467
3193,coppa,52431
3647,conquista,52352
3179,interazione,52331
2958,strettamente,52295
3271,ennesimo,52269
3138,leva,52261
3093,delineare,52202
3388,Domenico,52189
3376,rubare,52184
3381,statistica,52109
3329,scorrere,52109
3109,testimone,52097
3085,prescindere,52086
2969,applicabile,52013
3075,udienza,52003
3452,foglia,51959
3182,fumo,51936
2974,curiosità,51921
2978,interamente,51847
3228,autostrada,51844
2983,conferimento,51801
3178,sacco,51727
3158,cieco,51725
3068,auspicare,51700
2986,referente,51693
3486,pittura,51634
3126,terapeutico,51633
3621,Ordine,51628
3479,festival,51579
3543,fascista,51561
3352,ampliare,51553
2991,specialistico,51520
3227,polvere,51455
3303,stabilimento,51453
3119,etc.,51387
3107,raggiungimento,51384
2995,bambina,51383
3730,leggenda,51357
3554,tuttora,51353
3419,separato,51343
3231,ricercare,51318
3155,materno,51249
3129,scadere,51235
3004,moderatore,51231
3307,svolta,51223
3006,Ds,51178
3584,pellicola,51178
3194,asta,51173
3942,morto,51131
3174,dispiacere,51123
3077,artigianato,51083
3262,manager,51022
3758,anteriore,51010
3370,coro,50977
3222,assurdo,50936
3216,contento,50932
3346,vetro,50917
3205,viso,50903
3240,riproduzione,50898
3201,spedire,50803
3484,scappare,50799
3188,accessibile,50797
3324,Mauro,50765
3364,indagare,50739
3753,architetto,50728
3090,sussistere,50713
3192,Bolzano,50675
3150,procuratore,50650
3504,appoggio,50622
3101,qualificato,50617
3937,combattimento,50617
3029,definitivamente,50595
3258,contestare,50572
3446,precedentemente,50566
3316,dall,50553
3110,superamento,50547
3167,delegazione,50526
3191,contraddizione,50480
3034,diversità,50430
3335,assistente,50427
3570,classificare,50427
3128,telecomunicazione,50417
3263,visivo,50385
3123,pescare,50383
3233,controversia,50380
3161,mutuo,50281
3379,calore,50274
3512,Croce,50256
3173,itinerario,50244
3314,risparmiare,50241
3147,usufruire,50236
3153,discriminazione,50111
3448,Fiat,50103
3244,animare,50101
3210,oggettivo,50097
3052,complessità,50060
3490,stimare,50057
3338,integrale,50055
3113,ripartizione,50045
3432,avvenimento,50044
3361,coincidere,50035
3156,indicatore,49979
3343,disturbo,49962
3552,Giulio,49956
3058,abilità,49953
3218,avvalersi,49881
3373,capolavoro,49873
4562,vettura,49856
3322,Perugia,49781
3516,liquido,49773
3266,strumentale,49764
3279,simpatico,49756
3604,kg,49736
3249,orizzonte,49706
3362,prevalere,49651
3278,libreria,49640
3256,sosta,49601
3891,ufficialmente,49599
3640,esibire,49595
3547,nudo,49536
3072,varietà,49534
3472,tranne,49531
3241,stanco,49520
3394,diplomatico,49505
3293,consolidare,49493
3761,Val,49481
4097,sovietico,49452
3414,classificazione,49428
3327,efficiente,49405
3473,Washington,49367
3348,Puglia,49323
3230,artigiano,49319
3596,talento,49297
3666,innamorare,49296
3643,espansione,49293
3311,sorte,49279
3633,collina,49271
3080,stabilito,49246
3253,condotta,49238
3226,illecito,49224
3386,rigore,49203
3265,replicare,49178
3267,banco,49144
3404,Daniele,49135
3582,restauro,49127
3355,immenso,49118
3606,misterioso,49116
3304,clandestino,49089
3284,istante,49067
3750,batteria,49042
3340,incrementare,49041
3176,tributario,49035
3317,permanenza,49027
3270,alimento,49024
3413,configurazione,49021
3478,curioso,48988
3091,profondamente,48969
3461,interprete,48952
3387,mutare,48929
3092,contrattazione,48924
3215,articolato,48889
3097,purché,48868
3389,riproporre,48851
3098,International,48848
3099,finché,48839
3746,narrare,48820
3305,scarico,48794
4130,dipinto,48790
3550,cerimonia,48754
3568,creatura,48752
3365,embrione,48719
3290,prefetto,48716
3450,riempire,48644
3300,news,48643
3336,sereno,48637
3103,stanziamento,48636
3104,pochi,48625
3261,consulente,48619
3248,quantitativo,48618
3454,degno,48603
3735,maglia,48601
3306,supremo,48580
3401,matematica,48532
3114,multimediale,48525
3308,giurisdizione,48511
3485,modesto,48493
3356,vitale,48492
3931,allenatore,48480
3999,pittore,48475
3465,ramo,48459
3696,Svizzera,48392
3515,bruciare,48380
3337,terrorista,48371
3433,accendere,48368
3467,Davide,48333
3513,sfondo,48327
3331,passivo,48292
3207,busta,48253
3395,pazzo,48220
3301,fiera,48143
3683,Brasile,48104
3310,portatore,48098
3424,status,48089
3563,criticare,48082
3410,rurale,48073
3559,Riccardo,48061
3523,rigido,48030
3399,erba,48022
3302,raccomandare,48016
4294,pressi,48004
3483,tragico,48003
3254,fornitore,48001
3406,metropolitano,48000
3492,dinamica,47975
3501,spostamento,47956
3434,generico,47920
3544,ipotizzare,47862
3545,scatenare,47822
3144,dellâ,47816
3421,odio,47790
3250,risarcimento,47718
3255,oh,47704
3151,complessivamente,47661
4421,ago,47652
3659,spada,47642
3531,angelo,47635
3295,idrico,47625
3412,necessitare,47622
3154,©,47622
3273,umanitario,47614
3157,transitorio,47612
3488,lottare,47575
3489,petrolio,47574
3296,:),47521
3510,Salvatore,47439
3318,giornaliero,47431
3168,assicurativo,47390
3502,documentare,47388
3298,Sala,47388
3511,premiare,47382
3378,impostare,47359
3699,croce,47342
3372,svegliare,47300
3169,abrogare,47291
3508,scritta,47280
3392,sapore,47241
3480,limitato,47229
3609,vantare,47223
3375,marittimo,47179
3323,espresso,47159
3269,paragrafo,47136
3363,montano,47131
3910,Peter,47127
3476,Paola,47082
3272,patente,47072
3374,percezione,47056
3560,sentiero,47044
3325,suggerimento,46991
4057,commedia,46939
3353,cessione,46930
3184,ansa,46917
3309,sorveglianza,46897
3415,pasta,46893
3189,fattispecie,46824
3339,pregiudizio,46820
3371,ricetta,46794
4163,medaglia,46743
3469,canna,46743
3396,indipendentemente,46742
4139,Paul,46735
3858,Ferrari,46712
3509,detenere,46682
3417,detenuto,46655
3558,crimine,46647
3268,mozione,46638
3692,abbattere,46531
3579,vivente,46492
3385,pranzo,46411
3418,psicologia,46396
3482,abbassare,46368
3701,asse,46307
3610,rivestire,46299
3471,elevare,46293
3411,promotore,46287
3820,aggiunta,46267
3603,abbandono,46266
4591,torneo,46265
5823,a.C.,46246
3398,indire,46237
3802,perduto,46216
3427,dovuto,46208
3345,clausola,46193
3383,circoscrizione,46185
4215,Robert,46175
3220,diversamente,46131
3689,Matteo,46117
3358,orecchio,46116
3367,Romagna,46097
3456,condizionare,46072
3493,seno,46072
3438,sondaggio,46051
3225,curriculum,46043
3646,Giulia,46035
3334,vangelo,46021
3500,apparecchio,45954
3459,anticipo,45939
3607,design,45921
4014,mediterraneo,45909
3470,etc,45891
3749,nutrire,45861
3774,ferire,45857
3667,tematico,45855
3468,mestiere,45850
3313,Osservatorio,45842
3441,bacio,45835
3428,bimbo,45821
3236,ª,45783
3237,funzionalità,45774
3519,sopportare,45750
4084,Austria,45746
3612,luminoso,45742
3733,riassumere,45676
3430,prevenire,45656
3351,liquidazione,45645
3536,spunto,45628
3777,ridotto,45574
3498,calare,45555
3895,rivoluzionario,45551
3251,anzianità,45517
3252,ds,45516
4602,diocesi,45514
4586,statua,45487
3688,veste,45479
4876,omonimo,45468
3873,Asia,45463
3576,eliminazione,45440
3639,Guido,45434
3525,miracolo,45432
3497,abito,45405
3849,VII,45396
4196,carro,45395
3836,spaziale,45378
3402,specialista,45362
3537,or,45359
3700,confondere,45305
3259,Italiano,45302
3530,rimandare,45296
3260,Marina,45293
3264,CEST,45227
3349,rilevazione,45223
3676,filosofo,45219
3614,specchio,45211
3605,talmente,45205
3423,residenziale,45196
3789,parrocchia,45171
3575,rifare,45122
3274,triennale,45038
3532,tumore,45037
3879,quadrato,45032
3812,passeggero,45026
3656,spinta,44961
3909,leggermente,44939
3518,interrogare,44916
3546,sancire,44899
3731,qualificare,44884
3282,ter,44871
3627,impiegato,44800
3709,precisione,44771
3496,fretta,44762
3682,Laura,44752
3903,conduttore,44738
3898,uccello,44727
3572,dimissione,44725
3499,preferenza,44701
3790,prestigioso,44687
3462,stipendio,44677
4008,Grecia,44668
3798,mostro,44617
3535,eccesso,44587
4067,Egitto,44565
3475,incertezza,44526
3632,Simone,44526
3514,accennare,44521
3652,sintomo,44503
3678,parzialmente,44501
4052,Berlino,44490
3495,piacevole,44486
3455,motivare,44427
3553,proiezione,44405
3507,premere,44342
3319,rapidamente,44293
3321,flessibilità,44259
3927,novanta,44257
3948,ferrovia,44255
3637,sparire,44248
4446,James,44247
3524,business,44215
3786,live,44202
3405,escluso,44186
3477,legislatura,44177
4069,testata,44152
3330,lino,44151
3629,salvezza,44139
3888,rosa,44128
3463,constatare,44101
3526,meraviglioso,44043
3884,Max,44032
3539,Marche,44024
4100,curva,44024
3671,cognome,44008
3762,proclamare,43984
3342,gravità,43915
3548,inevitabile,43899
3591,confusione,43878
3457,disoccupazione,43869
4178,capoluogo,43856
3565,entusiasmo,43818
3347,lettera|letteratura,43783
3625,stampare,43777
3713,reagire,43767
3878,autunno,43738
3783,ferito,43736
3622,grasso,43735
3592,calo,43733
3354,extracomunitario,43707
3541,apporto,43686
3529,nozione,43651
3813,seme,43645
3771,Leonardo,43643
3359,anziché,43634
3964,danneggiare,43630
3583,you,43613
3620,molteplice,43613
3755,Porto,43586
3703,Umberto,43584
3862,attirare,43573
3657,trascinare,43573
3464,articolazione,43569
3781,assorbire,43538
3845,nell,43520
3506,laddove,43501
3651,sfruttamento,43489
3366,acquisito,43453
3538,completamento,43444
3517,coniuge,43368
3710,simbolico,43367
3734,cavo,43363
3369,predisposizione,43342
3623,riflesso,43305
3787,dente,43287
3801,verticale,43256
3778,essenzialmente,43231
3866,laureare,43191
3573,diminuzione,43176
3377,peccare,43174
3487,augurio,43170
3719,Est,43125
3670,comodo,43101
4085,Guerra,43094
3818,ammirare,43082
3800,spontaneo,43019
4020,schierare,42979
3600,ampliamento,42978
4039,automobile,42975
3520,consolare,42952
3924,gamma,42939
3390,aliquota,42927
4087,roccia,42924
3649,profitto,42921
3655,rientro,42917
3619,trattenere,42894
3540,mero,42877
4005,University,42873
3694,sorprendere,42867
3393,idoneità,42832
3624,pulito,42821
3742,Luciano,42746
3564,espulsione,42686
4033,strato,42663
3634,candidatura,42656
3528,complementare,42645
3407,assistenziale,42604
3533,prassi,42592
3408,caffè,42591
3680,frutta,42549
3602,diagnosi,42529
3556,soggettivo,42527
3950,fortunato,42521
3751,spegnere,42519
4132,estrarre,42518
3581,scontato,42506
3728,terminale,42486
3846,ballo,42467
3865,grigio,42441
3650,estraneo,42426
3765,Cagliari,42423
3522,discusso,42423
3744,pesare,42419
3930,malgrado,42389
3848,sistematico,42383
3759,allevamento,42380
3823,meta,42369
3767,poetico,42368
3585,imputato,42355
3923,novecento,42331
3422,Club,42321
3658,gravidanza,42299
3425,ssa,42289
3426,£,42266
3429,abilitazione,42206
4077,turco,42198
3626,lesione,42165
3431,Next,42161
3717,lupo,42146
3521,imprenditoriale,42118
3707,scusa,42118
3720,dose,42116
3912,poliziotto,42087
3542,convocazione,42071
3435,bollettino,42070
3616,pulizia,42022
3706,mescolare,42017
3440,TM,41999
3613,vicepresidente,41974
3788,omaggio,41967
3445,profondità,41956
3638,esportazione,41947
3725,pausa,41934
4403,settanta,41912
3449,piare,41901
3663,gentile,41891
3922,fiorentino,41888
3980,des,41865
3534,elaborato,41851
3451,v.,41824
3648,competere,41816
3901,approfittare,41787
3956,equivalente,41768
3630,ecologico,41759
3724,scarpa,41750
3453,vita|vite,41744
3821,vestito,41734
3458,c.,41657
3969,menzionare,41648
4934,show,41647
3850,Aldo,41632
3466,contribuente,41572
3712,pro,41565
3837,colpevole,41556
4073,scuro,41554
3745,collocazione,41542
4149,acido,41535
3747,centimetro,41532
4276,medievale,41508
3698,ideologico,41491
3808,prete,41484
3474,fila|filo,41479
3704,altrove,41420
3752,rabbia,41420
3882,audio,41417
4011,Messina,41404
